test	permutation	random_gene_rate	observed_gene_rate
cold DEGs with >=2 cold candidate SNPs in cis	1	0.144444444444444	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	2	0.12962962962963	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	3	0.155555555555556	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	4	0.155555555555556	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	5	0.107407407407407	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	6	0.137037037037037	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	7	0.125925925925926	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	8	0.114814814814815	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	9	0.118518518518519	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	10	0.12962962962963	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	11	0.107407407407407	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	12	0.140740740740741	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	13	0.140740740740741	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	14	0.166666666666667	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	15	0.151851851851852	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	16	0.144444444444444	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	17	0.12962962962963	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	18	0.133333333333333	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	19	0.144444444444444	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	20	0.111111111111111	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	21	0.125925925925926	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	22	0.159259259259259	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	23	0.140740740740741	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	24	0.133333333333333	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	25	0.133333333333333	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	26	0.159259259259259	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	27	0.133333333333333	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	28	0.12962962962963	0.162962962962963
cold DEGs with >=2 cold candidate SNPs in cis	29	0.151851851851852	0.162962962962963
