test	permutation	random_gene_rate	observed_gene_rate
cold DEGs with >=1 cold candidate SNP in cis	1	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	2	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	3	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	4	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	5	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	6	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	7	0.155555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	8	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	9	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	10	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	11	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	12	0.174074074074074	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	13	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	14	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	15	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	16	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	17	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	18	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	19	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	20	0.185185185185185	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	21	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	22	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	23	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	24	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	25	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	26	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	27	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	28	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	29	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	30	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	31	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	32	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	33	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	34	0.307407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	35	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	36	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	37	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	38	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	39	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	40	0.222222222222222	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	41	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	42	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	43	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	44	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	45	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	46	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	47	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	48	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	49	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	50	0.185185185185185	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	51	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	52	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	53	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	54	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	55	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	56	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	57	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	58	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	59	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	60	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	61	0.17037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	62	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	63	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	64	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	65	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	66	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	67	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	68	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	69	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	70	0.277777777777778	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	71	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	72	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	73	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	74	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	75	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	76	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	77	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	78	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	79	0.181481481481482	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	80	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	81	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	82	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	83	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	84	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	85	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	86	0.185185185185185	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	87	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	88	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	89	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	90	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	91	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	92	0.196296296296296	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	93	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	94	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	95	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	96	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	97	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	98	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	99	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	100	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	101	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	102	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	103	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	104	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	105	0.174074074074074	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	106	0.177777777777778	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	107	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	108	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	109	0.233333333333333	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	110	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	111	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	112	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	113	0.288888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	114	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	115	0.203703703703704	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	116	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	117	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	118	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	119	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	120	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	121	0.196296296296296	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	122	0.196296296296296	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	123	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	124	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	125	0.240740740740741	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	126	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	127	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	128	0.181481481481482	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	129	0.2	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	130	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	131	0.192592592592593	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	132	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	133	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	134	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	135	0.27037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	136	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	137	0.27037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	138	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	139	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	140	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	141	0.237037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	142	0.218518518518519	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	143	0.288888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	144	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	145	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	146	0.274074074074074	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	147	0.244444444444444	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	148	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	149	0.22962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	150	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	151	0.262962962962963	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	152	0.207407407407407	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	153	0.225925925925926	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	154	0.214814814814815	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	155	0.255555555555556	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	156	0.248148148148148	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	157	0.251851851851852	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	158	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	159	0.211111111111111	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	160	0.17037037037037	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	161	0.188888888888889	0.262962962962963
cold DEGs with >=1 cold candidate SNP in cis	162	0.177777777777778	0.262962962962963
