file,start_datetime,stop_datetime,region_id,genotype,replicate,survivors
Monitor7.txt,3/23/26 8:30,4/2/26,1,HOT1,1,8
Monitor7.txt,3/23/26 8:30,4/2/26,2,HOT1,2,10
Monitor7.txt,3/23/26 8:30,4/2/26,3,HOT1,3,5
Monitor7.txt,3/23/26 8:30,4/2/26,4,HOT1,4,9
Monitor7.txt,3/23/26 8:30,4/2/26,5,HOT1,5,10
Monitor7.txt,3/23/26 8:30,4/2/26,6,HOT2,1,10
Monitor7.txt,3/23/26 8:30,4/2/26,7,HOT2,2,10
Monitor7.txt,3/23/26 8:30,4/2/26,8,HOT2,3,10
Monitor7.txt,3/23/26 8:30,4/2/26,9,HOT2,4,8
Monitor7.txt,3/23/26 8:30,4/2/26,10,HOT2,5,10
Monitor7.txt,3/23/26 8:30,4/2/26,11,HOT3,1,10
Monitor7.txt,3/23/26 8:30,4/2/26,12,HOT3,2,10
Monitor7.txt,3/23/26 8:30,4/2/26,13,HOT3,3,10
Monitor7.txt,3/23/26 8:30,4/2/26,14,HOT3,4,10
Monitor7.txt,3/23/26 8:30,4/2/26,15,HOT3,5,10
Monitor7.txt,3/23/26 8:30,4/2/26,16,HOT4,1,10
Monitor7.txt,3/23/26 8:30,4/2/26,17,HOT4,2,8
Monitor7.txt,3/23/26 8:30,4/2/26,18,HOT4,3,10
Monitor7.txt,3/23/26 8:30,4/2/26,19,HOT4,4,10
Monitor7.txt,3/23/26 8:30,4/2/26,20,HOT4,5,9
Monitor7.txt,3/23/26 8:30,4/2/26,21,HOT5,1,8
Monitor7.txt,3/23/26 8:30,4/2/26,22,HOT5,2,9
Monitor7.txt,3/23/26 8:30,4/2/26,23,HOT5,3,9
Monitor7.txt,3/23/26 8:30,4/2/26,24,HOT5,4,9
Monitor7.txt,3/23/26 8:30,4/2/26,25,HOT5,5,9
Monitor7.txt,3/23/26 8:30,4/2/26,26,,,
Monitor7.txt,3/23/26 8:30,4/2/26,27,,,
Monitor7.txt,3/23/26 8:30,4/2/26,28,,,
Monitor7.txt,3/23/26 8:30,4/2/26,29,,,
Monitor7.txt,3/23/26 8:30,4/2/26,30,,,
Monitor7.txt,3/23/26 8:30,4/2/26,31,,,
Monitor7.txt,3/23/26 8:30,4/2/26,32,,,
Monitor8.txt,3/23/26 8:30,4/2/26,1,HOT6,1,7
Monitor8.txt,3/23/26 8:30,4/2/26,2,HOT6,2,7
Monitor8.txt,3/23/26 8:30,4/2/26,3,HOT6,3,8
Monitor8.txt,3/23/26 8:30,4/2/26,4,HOT6,4,7
Monitor8.txt,3/23/26 8:30,4/2/26,5,HOT6,5,9
