Evo,EvoRep,TechRep,flynr,cum.fec,cge,local
Ancestral,A1,A1a,60,9.45,Cold,Ancestral
Ancestral,A1,A1b,62,8.75806451612903,Cold,Ancestral
Ancestral,A2,A2a,46,10.2173913043478,Cold,Ancestral
Ancestral,A2,A2b,65,9.78461538461539,Cold,Ancestral
Ancestral,A3,A3a,49,12.469387755102,Cold,Ancestral
Ancestral,A3,A3b,52,12.0769230769231,Cold,Ancestral
Ancestral,A4,A4a,55,10.0909090909091,Cold,Ancestral
Ancestral,A4,A4b,63,8.49206349206349,Cold,Ancestral
Cold,C1,C1a,52,23.7692307692308,Cold,Home
Cold,C1,C1b,55,27.1090909090909,Cold,Home
Cold,C2,C2a,49,25.6326530612245,Cold,Home
Cold,C2,C2b,56,31.4821428571429,Cold,Home
Cold,C3,C3a,60,26.7833333333333,Cold,Home
Cold,C3,C3b,62,27.5483870967742,Cold,Home
Cold,C4,C4a,68,13.6764705882353,Cold,Home
Cold,C4,C4b,53,22.1320754716981,Cold,Home
Hot,H1,H1a,51,16.6274509803922,Cold,Away
Hot,H1,H1b,48,19.8125,Cold,Away
Hot,H2,H2a,49,26.1836734693878,Cold,Away
Hot,H2,H2b,53,30.5094339622642,Cold,Away
Hot,H3,H3a,59,23.5932203389831,Cold,Away
Hot,H3,H3b,55,27.4363636363636,Cold,Away
Hot,H4,H4a,51,21.0392156862745,Cold,Away
Hot,H4,H4b,55,19.0181818181818,Cold,Away
Ancestral,A1,A1a,41,41,Hot,Ancestral
Ancestral,A1,A1b,57,33.5087719298246,Hot,Ancestral
Ancestral,A2,A2a,54,32.9444444444444,Hot,Ancestral
Ancestral,A2,A2b,54,36.6296296296296,Hot,Ancestral
Ancestral,A3,A3a,49,29.6938775510204,Hot,Ancestral
Ancestral,A3,A3b,53,29.7735849056604,Hot,Ancestral
Ancestral,A4,A4a,49,29.2040816326531,Hot,Ancestral
Ancestral,A4,A4b,39,35.2820512820513,Hot,Ancestral
Cold,C1,C1a,49,52.4897959183674,Hot,Away
Cold,C1,C1b,44,49.2727272727273,Hot,Away
Cold,C2,C2a,58,46.9827586206897,Hot,Away
Cold,C2,C2b,55,48.6909090909091,Hot,Away
Cold,C3,C3a,64,49.421875,Hot,Away
Cold,C3,C3b,51,46.3921568627451,Hot,Away
Cold,C4,C4a,56,44.25,Hot,Away
Cold,C4,C4b,67,37.3134328358209,Hot,Away
Hot,H1,H1a,49,55.7755102040816,Hot,Home
Hot,H1,H1b,45,52.9555555555556,Hot,Home
Hot,H2,H2a,50,59.62,Hot,Home
Hot,H2,H2b,58,53.7241379310345,Hot,Home
Hot,H3,H3a,57,58.1578947368421,Hot,Home
Hot,H3,H3b,65,50.6,Hot,Home
Hot,H4,H4a,72,46.6111111111111,Hot,Home
Hot,H4,H4b,61,47.8032786885246,Hot,Home
