Sample,Evo,EvoRep,TechRep,ColDay,Red_Nr,White_Nr,cge,Cumulative_Red_Nr,Cumulative_White_Nr,ratio
Anc.1.A,Ancestral,A1,A,1,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,2,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,3,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,4,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,5,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,6,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,7,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,8,0,0,hotcge,0,0,
Anc.1.A,Ancestral,A1,A,9,1,0,hotcge,1,0,100
Anc.1.A,Ancestral,A1,A,10,2,0,hotcge,3,0,100
Anc.1.A,Ancestral,A1,A,11,17,0,hotcge,20,0,100
Anc.1.A,Ancestral,A1,A,12,10,0,hotcge,30,0,100
Anc.1.A,Ancestral,A1,A,13,4,0,hotcge,34,0,100
Anc.1.A,Ancestral,A1,A,14,2,1,hotcge,36,1,97.2972972972973
Anc.1.A,Ancestral,A1,A,15,0,0,hotcge,36,1,97.2972972972973
Anc.1.A,Ancestral,A1,A,16,0,1,hotcge,36,2,94.7368421052632
Anc.1.A,Ancestral,A1,A,17,0,3,hotcge,36,5,87.8048780487805
Anc.1.A,Ancestral,A1,A,18,5,3,hotcge,41,8,83.6734693877551
Anc.1.A,Ancestral,A1,A,19,3,2,hotcge,44,10,81.4814814814815
Anc.1.A,Ancestral,A1,A,20,0,1,hotcge,44,11,80
Anc.1.A,Ancestral,A1,A,21,2,1,hotcge,46,12,79.3103448275862
Anc.1.B,Ancestral,A1,B,1,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,2,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,3,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,4,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,5,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,6,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,7,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,8,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,9,0,0,hotcge,0,0,
Anc.1.B,Ancestral,A1,B,10,1,0,hotcge,1,0,100
Anc.1.B,Ancestral,A1,B,11,10,0,hotcge,11,0,100
Anc.1.B,Ancestral,A1,B,12,3,0,hotcge,14,0,100
Anc.1.B,Ancestral,A1,B,13,1,2,hotcge,15,2,88.2352941176471
Anc.1.B,Ancestral,A1,B,14,1,3,hotcge,16,5,76.1904761904762
Anc.1.B,Ancestral,A1,B,15,3,0,hotcge,19,5,79.1666666666667
Anc.1.B,Ancestral,A1,B,16,2,1,hotcge,21,6,77.7777777777778
Anc.1.B,Ancestral,A1,B,17,4,2,hotcge,25,8,75.7575757575758
Anc.1.B,Ancestral,A1,B,18,1,2,hotcge,26,10,72.2222222222222
Anc.1.B,Ancestral,A1,B,19,3,1,hotcge,29,11,72.5
