cge,run,chamber,cycle,Evo,EvoRep,Sex,TechRep,co2,o2,RER,FlyDead,FlyNum,NetWeight
coldcge,1,13,2,Cold,C2,Male,B,9.6154400644461,11.970880102791,0.803235850821383,0,30,9
coldcge,1,13,3,Cold,C2,Male,B,7.7411699459172,10.752122516239,0.71996667953008,0,30,9
coldcge,1,13,4,Cold,C2,Male,B,6.8061241823664,10.132661486218,0.671701525963715,0,30,9
coldcge,1,13,5,Cold,C2,Male,B,6.9126341871654,10.512715619622,0.657549812748949,0,30,9
coldcge,1,13,6,Cold,C2,Male,B,7.5126519688245,10.625649052775,0.707029935913655,0,30,9
coldcge,1,13,7,Cold,C2,Male,B,6.265137631644,8.472353174544,0.739480224982619,0,30,9
coldcge,1,13,8,Cold,C2,Male,B,7.3168718289732,10.006165837596,0.731236314461393,0,30,9
coldcge,1,13,9,Cold,C2,Male,B,7.7920655749884,10.558498702204,0.737989916441612,0,30,9
coldcge,1,13,10,Cold,C2,Male,B,8.6019759030657,9.761861475344,0.881181926704463,0,30,9
coldcge,1,13,11,Cold,C2,Male,B,8.2698840839706,8.822710897754,0.937340481832615,0,30,9
coldcge,1,13,12,Cold,C2,Male,B,8.9074365585666,12.737707855714,0.699296659922281,0,30,9
coldcge,1,13,13,Cold,C2,Male,B,8.8873762268466,11.046172198263,0.804566149008987,0,30,9
coldcge,1,13,14,Cold,C2,Male,B,8.3173780024599,10.151897019755,0.819292983988585,0,30,9
coldcge,1,13,15,Cold,C2,Male,B,8.959896378708,12.79252649184,0.700400846105206,0,30,9
coldcge,1,15,2,Hot,H1,Female,C,13.467772294398,15.694010456976,0.858147274166723,0,29,12.7
coldcge,1,15,3,Hot,H1,Female,C,13.8342504873006,14.069271279852,0.983295453767534,0,29,12.7
coldcge,1,15,4,Hot,H1,Female,C,13.5265387897632,15.68357013338,0.862465540353857,0,29,12.7
coldcge,1,15,5,Hot,H1,Female,C,13.9234919626566,16.485836331984,0.844572982666568,0,29,12.7
coldcge,1,15,6,Hot,H1,Female,C,13.5245707261164,16.92240936517,0.799210705418397,0,29,12.7
coldcge,1,15,7,Hot,H1,Female,C,13.9113147609432,15.958822658925,0.871700567031696,0,29,12.7
coldcge,1,15,8,Hot,H1,Female,C,13.7913296108004,17.416761068571,0.791842384270128,0,29,12.7
coldcge,1,15,9,Hot,H1,Female,C,14.2552545040518,16.000379680108,0.890932264674583,0,29,12.7
