cge,Evo,EvoRep,TechRep,Sample,vial,final_n,threshold_05,T05,status
hotcge,Ancestral,A1,A,Anc.1.A,hotcge.Anc.1.A,46,2.3,9.65,interpolated
hotcge,Ancestral,A1,B,Anc.1.B,hotcge.Anc.1.B,30,1.5,10.05,interpolated
hotcge,Ancestral,A1,C,Anc.1.C,hotcge.Anc.1.C,50,2.5,9.3,interpolated
hotcge,Ancestral,A1,D,Anc.1.D,hotcge.Anc.1.D,41,2.05,10.1708333333333,interpolated
hotcge,Ancestral,A1,E,Anc.1.E,hotcge.Anc.1.E,24,1.2,9.6,interpolated
hotcge,Ancestral,A2,A,Anc.2.A,hotcge.Anc.2.A,36,1.8,9.13333333333333,interpolated
hotcge,Ancestral,A2,B,Anc.2.B,hotcge.Anc.2.B,30,1.5,9.125,interpolated
hotcge,Ancestral,A2,C,Anc.2.C,hotcge.Anc.2.C,40,2,9.5,interpolated
hotcge,Ancestral,A2,D,Anc.2.D,hotcge.Anc.2.D,30,1.5,9.21428571428571,interpolated
hotcge,Ancestral,A2,E,Anc.2.E,hotcge.Anc.2.E,51,2.55,9.25833333333333,interpolated
hotcge,Ancestral,A3,A,Anc.3.A,hotcge.Anc.3.A,31,1.55,9.55,interpolated
hotcge,Ancestral,A3,B,Anc.3.B,hotcge.Anc.3.B,35,1.75,9.08333333333333,interpolated
hotcge,Ancestral,A3,C,Anc.3.C,hotcge.Anc.3.C,34,1.7,10.1166666666667,interpolated
hotcge,Ancestral,A3,D,Anc.3.D,hotcge.Anc.3.D,39,1.95,9.95,interpolated
hotcge,Ancestral,A3,E,Anc.3.E,hotcge.Anc.3.E,49,2.45,10.1166666666667,interpolated
hotcge,Ancestral,A4,A,Anc.4.A,hotcge.Anc.4.A,34,1.7,9.35,interpolated
hotcge,Ancestral,A4,B,Anc.4.B,hotcge.Anc.4.B,32,1.6,8.8,interpolated
hotcge,Ancestral,A4,C,Anc.4.C,hotcge.Anc.4.C,37,1.85,9.425,interpolated
hotcge,Ancestral,A4,D,Anc.4.D,hotcge.Anc.4.D,31,1.55,10.1409090909091,interpolated
hotcge,Ancestral,A4,E,Anc.4.E,hotcge.Anc.4.E,40,2,10.047619047619,interpolated
hotcge,Cold,C1,A,Cold.1.A,hotcge.Cold.1.A,36,1.8,10.3,interpolated
hotcge,Cold,C1,B,Cold.1.B,hotcge.Cold.1.B,39,1.95,10.2166666666667,interpolated
hotcge,Cold,C1,C,Cold.1.C,hotcge.Cold.1.C,36,1.8,9.9,interpolated
hotcge,Cold,C1,D,Cold.1.D,hotcge.Cold.1.D,39,1.95,10.24375,interpolated
hotcge,Cold,C1,E,Cold.1.E,hotcge.Cold.1.E,30,1.5,10.0555555555556,interpolated
hotcge,Cold,C2,A,Cold.2.A,hotcge.Cold.2.A,40,2,10,interpolated
hotcge,Cold,C2,B,Cold.2.B,hotcge.Cold.2.B,30,1.5,10.1153846153846,interpolated
hotcge,Cold,C2,C,Cold.2.C,hotcge.Cold.2.C,58,2.9,10.0966666666667,interpolated
hotcge,Cold,C2,D,Cold.2.D,hotcge.Cold.2.D,36,1.8,10.2,interpolated
hotcge,Cold,C2,E,Cold.2.E,hotcge.Cold.2.E,56,2.8,9.6,interpolated
hotcge,Cold,C3,A,Cold.3.A,hotcge.Cold.3.A,33,1.65,9.4125,interpolated
hotcge,Cold,C3,B,Cold.3.B,hotcge.Cold.3.B,51,2.55,9.85,interpolated
hotcge,Cold,C3,C,Cold.3.C,hotcge.Cold.3.C,48,2.4,9.35,interpolated
hotcge,Cold,C3,D,Cold.3.D,hotcge.Cold.3.D,24,1.2,9.4,interpolated
hotcge,Cold,C3,E,Cold.3.E,hotcge.Cold.3.E,23,1.15,10.1277777777778,interpolated
hotcge,Cold,C4,A,Cold.4.A,hotcge.Cold.4.A,24,1.2,10.4,interpolated
hotcge,Cold,C4,B,Cold.4.B,hotcge.Cold.4.B,29,1.45,10.05625,interpolated
hotcge,Cold,C4,C,Cold.4.C,hotcge.Cold.4.C,26,1.3,10.1857142857143,interpolated
hotcge,Cold,C4,D,Cold.4.D,hotcge.Cold.4.D,39,1.95,10.13,interpolated
hotcge,Cold,C4,E,Cold.4.E,hotcge.Cold.4.E,24,1.2,9.6,interpolated
hotcge,Hot,H1,A,Hot.1.A,hotcge.Hot.1.A,65,3.25,9.13541666666667,interpolated
hotcge,Hot,H1,B,Hot.1.B,hotcge.Hot.1.B,52,2.6,9.13,interpolated
hotcge,Hot,H1,C,Hot.1.C,hotcge.Hot.1.C,44,2.2,9.02,interpolated
hotcge,Hot,H1,D,Hot.1.D,hotcge.Hot.1.D,63,3.15,9.225,interpolated
hotcge,Hot,H1,E,Hot.1.E,hotcge.Hot.1.E,50,2.5,9.09615384615385,interpolated
hotcge,Hot,H2,A,Hot.2.A,hotcge.Hot.2.A,67,3.35,9.06714285714286,interpolated
hotcge,Hot,H2,B,Hot.2.B,hotcge.Hot.2.B,69,3.45,9.05178571428571,interpolated
hotcge,Hot,H2,C,Hot.2.C,hotcge.Hot.2.C,96,4.8,9.06666666666667,interpolated
hotcge,Hot,H2,D,Hot.2.D,hotcge.Hot.2.D,80,4,9.02702702702703,interpolated
hotcge,Hot,H2,E,Hot.2.E,hotcge.Hot.2.E,64,3.2,9.1,interpolated
hotcge,Hot,H3,A,Hot.3.A,hotcge.Hot.3.A,55,2.75,9.19444444444444,interpolated
