cge,Evo,EvoRep,TechRep,Sample,vial,final_n,threshold_10,T10,status
hotcge,Ancestral,A1,A,Anc.1.A,hotcge.Anc.1.A,46,4.6,10.0941176470588,interpolated
hotcge,Ancestral,A1,B,Anc.1.B,hotcge.Anc.1.B,30,3,10.2,interpolated
hotcge,Ancestral,A1,C,Anc.1.C,hotcge.Anc.1.C,50,5,9.8,interpolated
hotcge,Ancestral,A1,D,Anc.1.D,hotcge.Anc.1.D,41,4.1,10.3416666666667,interpolated
hotcge,Ancestral,A1,E,Anc.1.E,hotcge.Anc.1.E,24,2.4,10.08,interpolated
hotcge,Ancestral,A2,A,Anc.2.A,hotcge.Anc.2.A,36,3.6,9.43333333333333,interpolated
hotcge,Ancestral,A2,B,Anc.2.B,hotcge.Anc.2.B,30,3,9.5,interpolated
hotcge,Ancestral,A2,C,Anc.2.C,hotcge.Anc.2.C,40,4,10.0833333333333,interpolated
hotcge,Ancestral,A2,D,Anc.2.D,hotcge.Anc.2.D,30,3,9.42857142857143,interpolated
hotcge,Ancestral,A2,E,Anc.2.E,hotcge.Anc.2.E,51,5.1,9.68333333333333,interpolated
hotcge,Ancestral,A3,A,Anc.3.A,hotcge.Anc.3.A,31,3.1,10.1375,interpolated
hotcge,Ancestral,A3,B,Anc.3.B,hotcge.Anc.3.B,35,3.5,9.27777777777778,interpolated
hotcge,Ancestral,A3,C,Anc.3.C,hotcge.Anc.3.C,34,3.4,10.4,interpolated
hotcge,Ancestral,A3,D,Anc.3.D,hotcge.Anc.3.D,39,3.9,10.3166666666667,interpolated
hotcge,Ancestral,A3,E,Anc.3.E,hotcge.Anc.3.E,49,4.9,10.2333333333333,interpolated
hotcge,Ancestral,A4,A,Anc.4.A,hotcge.Anc.4.A,34,3.4,10.025,interpolated
hotcge,Ancestral,A4,B,Anc.4.B,hotcge.Anc.4.B,32,3.2,10.0166666666667,interpolated
hotcge,Ancestral,A4,C,Anc.4.C,hotcge.Anc.4.C,37,3.7,10.0636363636364,interpolated
hotcge,Ancestral,A4,D,Anc.4.D,hotcge.Anc.4.D,31,3.1,10.2818181818182,interpolated
hotcge,Ancestral,A4,E,Anc.4.E,hotcge.Anc.4.E,40,4,10.1428571428571,interpolated
hotcge,Cold,C1,A,Cold.1.A,hotcge.Cold.1.A,36,3.6,10.6,interpolated
hotcge,Cold,C1,B,Cold.1.B,hotcge.Cold.1.B,39,3.9,10.4333333333333,interpolated
hotcge,Cold,C1,C,Cold.1.C,hotcge.Cold.1.C,36,3.6,10.4,interpolated
hotcge,Cold,C1,D,Cold.1.D,hotcge.Cold.1.D,39,3.9,10.4875,interpolated
hotcge,Cold,C1,E,Cold.1.E,hotcge.Cold.1.E,30,3,10.2222222222222,interpolated
hotcge,Cold,C2,A,Cold.2.A,hotcge.Cold.2.A,40,4,10.1052631578947,interpolated
hotcge,Cold,C2,B,Cold.2.B,hotcge.Cold.2.B,30,3,10.2307692307692,interpolated
hotcge,Cold,C2,C,Cold.2.C,hotcge.Cold.2.C,58,5.8,10.1933333333333,interpolated
hotcge,Cold,C2,D,Cold.2.D,hotcge.Cold.2.D,36,3.6,10.65,interpolated
hotcge,Cold,C2,E,Cold.2.E,hotcge.Cold.2.E,56,5.6,10.0888888888889,interpolated
