Evo,cge,Sex,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,Female,0.894190404715109,0.0500547727307593,72.518351600673,0.794420222902662,0.993960586527556
Cold-evolved,coldcge,Female,1.24315090336406,0.0500547727307593,72.5183516006716,1.14338072155161,1.34292108517651
Hot-evolved,coldcge,Female,1.13031060355181,0.0500547727307593,72.5183516006723,1.03054042173937,1.23008078536426
Ancestral,hotcge,Female,3.33945165361733,0.0720054793777933,89.9555457378568,3.19639923782828,3.48250406940637
Cold-evolved,hotcge,Female,3.97971512542757,0.0523641735620744,77.1297450624738,3.87544753374312,4.08398271711202
Hot-evolved,hotcge,Female,3.76764178588664,0.0549582314382749,82.8478449701266,3.65832910495745,3.87695446681582
Ancestral,coldcge,Male,0.706677101969684,0.0500547727307593,72.518351600672,0.606906920157237,0.80644728378213
Cold-evolved,coldcge,Male,0.903750254639661,0.0500547727307593,72.5183516006716,0.803980072827215,1.00352043645211
Hot-evolved,coldcge,Male,0.840516941025649,0.0500547727307592,72.5183516006723,0.740746759213202,0.940287122838095
Ancestral,hotcge,Male,2.42568093037949,0.0523521846116308,77.1297450624742,2.32143721110445,2.52992464965454
Cold-evolved,hotcge,Male,2.93683406276127,0.0581912932481178,84.028855462217,2.8211148750617,3.05255325046084
Hot-evolved,hotcge,Male,2.70986362356666,0.0579177417486696,89.9555457378541,2.59479914589375,2.82492810123957
