contrast,cge,Sex,effect.size,SE,df,lower.CL,upper.CL
Ancestral - Cold,coldcge,Female,-2.48593105957989,0.346085475522873,22.5711287978277,-3.20261688811037,-1.76924523104942
Ancestral - Hot,coldcge,Female,-1.356578878828,0.341408073818825,22.2868004447473,-2.0640879847304,-0.649069772925607
Cold - Hot,coldcge,Female,1.12935218075189,0.340360900112184,22.2868004447473,0.424013161000719,1.83469120050306
Ancestral - Cold,hotcge,Female,-1.60236743762825,0.216761432149338,21.4271605349259,-2.0526009522769,-1.15213392297959
Ancestral - Hot,hotcge,Female,-1.07107183961184,0.209409223587512,21.4979089729191,-1.50594882354394,-0.636194855679743
Cold - Hot,hotcge,Female,0.531295598016408,0.178461503326317,21.4271605349259,0.160614572912579,0.901976623120237
Ancestral - Cold,coldcge,Male,-2.33446238679179,0.342015248959446,22.7247906298444,-3.042449255692,-1.62647551789158
Ancestral - Hot,coldcge,Male,-1.65479798725985,0.343114606633926,23.1196918552218,-2.36438135475337,-0.94521461976634
Cold - Hot,coldcge,Male,0.679664399531937,0.345734921084051,22.7247906298444,-0.0360223571038238,1.3953511561677
Ancestral - Cold,hotcge,Male,-1.77572025766553,0.192048489616391,21.5378053475473,-2.17450058400323,-1.37693993132783
Ancestral - Hot,hotcge,Male,-1.41805088576818,0.179287276902752,21.5378053475473,-1.79033310956639,-1.04576866196997
Cold - Hot,hotcge,Male,0.357669371897345,0.204736201246583,23.7545486384442,-0.0651165528258612,0.78045529662055
