Evo,cge,Sex,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,Female,1.13756439016969,0.0727063994729117,66.7551430229068,0.992432023980109,1.28269675635927
Cold-evolved,coldcge,Female,1.57232854247558,0.0721922045954963,66.6937210871985,1.42822013406522,1.71643695088594
Hot-evolved,coldcge,Female,1.37234641039495,0.0705272805390416,65.4320046396487,1.23151133244625,1.51318148834364
Ancestral,hotcge,Female,3.4201652432068,0.102029099204143,87.8593788340766,3.21739932526469,3.6229311611489
Cold-evolved,hotcge,Female,4.1295821111426,0.0768779348144585,63.838673392964,3.97599330588686,4.28317091639835
Hot-evolved,hotcge,Female,3.97233343921292,0.0779404068449176,70.7463909581294,3.81691502706637,4.12775185135947
Ancestral,coldcge,Male,0.874837066310579,0.0721069752941819,67.0231119621479,0.73091185354235,1.01876227907881
Cold-evolved,coldcge,Male,1.18451480540377,0.0711813786439534,66.4964342878435,1.0424163985877,1.32661321221984
Hot-evolved,coldcge,Male,1.07671786088115,0.0721875285285017,65.8200588806877,0.932583455083385,1.22085226667891
Ancestral,hotcge,Male,2.61271304106365,0.0766347147455894,65.0416129071512,2.45966480344399,2.76576127868331
Cold-evolved,hotcge,Male,3.26152644935514,0.0821510876906092,73.4713435903522,3.09781726135477,3.42523563735551
Hot-evolved,hotcge,Male,3.02385771523141,0.0832999301639436,74.5243534225509,2.85789838340867,3.18981704705415
