Evo,cge,Sex,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,Female,0.798793402045364,0.0178929780070702,21.4734640882611,0.76248393364799,0.836831926540999
Cold-evolved,coldcge,Female,0.807741661234498,0.018033797668617,21.2195555975616,0.771118186482005,0.846104530708138
Hot-evolved,coldcge,Female,0.824069969475605,0.0184034852527265,21.2081310340722,0.786694779850334,0.863220822083908
Ancestral,hotcge,Female,0.963205884093579,0.0227104940901961,27.3798989159792,0.917745810818256,1.01091779904209
Cold-evolved,hotcge,Female,0.934636124910246,0.019802442729179,18.7711736007207,0.894061958029468,0.977051621693594
Hot-evolved,hotcge,Female,0.934505304595087,0.0198306394353647,18.8996134317965,0.893893268631645,0.976962457333623
Ancestral,coldcge,Male,0.789856419562983,0.0176797611494187,21.438328224088,0.753975596544036,0.827444769279635
Cold-evolved,coldcge,Male,0.789749261565788,0.0176281600434046,21.2128766928403,0.753948718366236,0.827249759765144
Hot-evolved,coldcge,Male,0.783909754612728,0.0175395787479166,21.3488605143667,0.74830441384938,0.821209245868057
Ancestral,hotcge,Male,0.905064653995294,0.0190457664531534,18.344811923162,0.865974125518394,0.94591974953208
Cold-evolved,hotcge,Male,0.900592496103896,0.0197801775318101,20.5256770862662,0.860327292096683,0.94274219996208
Hot-evolved,hotcge,Male,0.88231665570433,0.0189273699744973,19.5870799409756,0.843654100595764,0.922751018911104
