Evo,cge,Sex,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,Female,0.803283277849338,0.0225979765005382,47.1715607384254,0.75908863293474,0.850050964375133
Cold-evolved,coldcge,Female,0.802180888776292,0.022474193655674,46.7682767085217,0.758213567887595,0.848697788554109
Hot-evolved,coldcge,Female,0.829089199495099,0.0228301199559858,44.5194031184433,0.784345875572376,0.876384924211914
Ancestral,hotcge,Female,0.97116164380873,0.0353825612873166,66.0662115364314,0.903027479331443,1.04443658691709
Cold-evolved,hotcge,Female,0.957318825538895,0.0293741756968847,42.6795934560091,0.899863673242284,1.01844241631523
Hot-evolved,hotcge,Female,0.947598574890579,0.0291508719735085,43.9826421703996,0.890632374552697,1.00820841998432
Ancestral,coldcge,Male,0.796483438074707,0.0222511980711958,46.4789797967389,0.752941931945562,0.842542884400243
Cold-evolved,coldcge,Male,0.786725105834489,0.0217890283899139,45.4981435176913,0.744053856600128,0.831843537480538
Hot-evolved,coldcge,Male,0.782197616811125,0.0219307513379858,46.5056558558388,0.73928810576579,0.82759766723318
Ancestral,hotcge,Male,0.922665418871361,0.0281743729621758,42.4950571661603,0.867542148651769,0.981291198939523
Cold-evolved,hotcge,Male,0.911493404698195,0.028871877110777,47.2865671961576,0.855231297704437,0.971456761508082
Hot-evolved,hotcge,Male,0.90130579399905,0.0289349563952075,48.8888102663012,0.844991643840254,0.961372979505859
