Evo,cge,Sex,emmean,SE,df,lower.CL,upper.CL
Ancestral,coldcge,Female,0.439074986316363,0.00679051093478635,17.4987949424685,0.424779306085228,0.453370666547498
Cold-evolved,coldcge,Female,0.463804734537494,0.00679051093478636,17.4987949424684,0.449509054306359,0.478100414768629
Hot-evolved,coldcge,Female,0.436828133552272,0.00679051093478636,17.4987949424684,0.422532453321137,0.451123813783407
Ancestral,hotcge,Female,0.401051164104126,0.00822604190947633,33.700857377493,0.384328368084622,0.41777396012363
Cold-evolved,hotcge,Female,0.398369721257902,0.00692248543114563,18.7957111362883,0.383870126751828,0.412869315763976
Hot-evolved,hotcge,Female,0.398264591254583,0.00707297105016744,20.3580827642339,0.383527251039442,0.413001931469724
Ancestral,coldcge,Male,0.287421252891219,0.00679051093478636,17.4987949424684,0.273125572660084,0.301716933122353
Cold-evolved,coldcge,Male,0.306037587891036,0.00679051093478635,17.4987949424683,0.291741907659902,0.320333268122171
Hot-evolved,coldcge,Male,0.291579395487442,0.00679051093478636,17.4987949424683,0.277283715256307,0.305875075718577
Ancestral,hotcge,Male,0.248537256664474,0.00692373403783336,18.8002158171215,0.234035284764429,0.26303922856452
Cold-evolved,hotcge,Male,0.250127919937543,0.00727939619706564,22.5082089493584,0.235051114719955,0.265204725155131
Hot-evolved,hotcge,Male,0.253420410452492,0.00724448781135308,22.263948970455,0.238406582731502,0.268434238173482
