cge,Evo,EvoRep,Sex,TechRep,run_id,sample_id,tech_id,co2.rest,o2.rest,weight.per,FlyNum,NetWeight,n_cycles
coldcge,Cold,C2,Male,B,coldcge_1,coldcge_C2_Male_B,C2_B,0.823862433210983,1.13993785873433,0.3,30,9,6
coldcge,Hot,H1,Female,C,coldcge_1,coldcge_H1_Female_C,H1_C,1.09585853242519,1.31528526366748,0.437931034482759,29,12.7,6
coldcge,Hot,H2,Male,A,coldcge_2,coldcge_H2_Male_A,H2_A,0.948034908476795,1.16831729833125,0.293333333333333,30,8.8,6
coldcge,Cold,C4,Female,B,coldcge_2,coldcge_C4_Female_B,C4_B,1.06763691474798,1.19062169788578,0.410714285714286,28,11.5,6
coldcge,Cold,C1,Male,C,coldcge_2,coldcge_C1_Male_C,C1_C,0.78250331566724,0.877557387031669,0.296153846153846,26,7.7,6
coldcge,Ancestral,A4,Male,B,coldcge_2,coldcge_A4_Male_B,A4_B,0.608883022274574,0.783397003576311,0.255172413793103,29,7.4,6
coldcge,Ancestral,A3,Female,A,coldcge_2,coldcge_A3_Female_A,A3_A,0.883700793037565,0.977779074262348,0.410714285714286,28,11.5,6
coldcge,Cold,C3,Male,A,coldcge_2,coldcge_C3_Male_A,C3_A,0.850176518897824,1.20555607548306,0.303571428571429,28,8.5,6
coldcge,Hot,H2,Male,B,coldcge_3,coldcge_H2_Male_B,H2_B,0.767466063583908,0.936566714007148,0.3,28,8.4,6
coldcge,Ancestral,A4,Female,C,coldcge_3,coldcge_A4_Female_C,A4_C,0.820577836229139,0.903148442138889,0.4,27,10.8,6
coldcge,Hot,H3,Male,B,coldcge_3,coldcge_H3_Male_B,H3_B,1.0668493814727,1.17522877380033,0.303333333333333,30,9.1,6
coldcge,Ancestral,A4,Male,C,coldcge_3,coldcge_A4_Male_C,A4_C,0.686647695396,0.627737047673938,0.275862068965517,29,8,5
coldcge,Hot,H2,Female,B,coldcge_3,coldcge_H2_Female_B,H2_B,1.26939603451481,1.37854368498868,0.433333333333333,27,11.7,6
coldcge,Hot,H2,Female,A,coldcge_3,coldcge_H2_Female_A,H2_A,1.0198858921454,0.975673469865,0.442857142857143,28,12.4,5
coldcge,Cold,C2,Male,C,coldcge_3,coldcge_C2_Male_C,C2_C,0.904741754390471,1.02697385225188,0.314285714285714,28,8.8,6
coldcge,Ancestral,A1,Male,B,coldcge_3,coldcge_A1_Male_B,A1_B,0.677240107287071,0.837458081069643,0.289655172413793,29,8.4,6
coldcge,Ancestral,A3,Male,A,coldcge_3,coldcge_A3_Male_A,A3_A,0.770054875551867,0.839344031227289,0.3,30,9,5
coldcge,Cold,C2,Female,A,coldcge_3,coldcge_C2_Female_A,C2_A,1.2092135279962,1.3316565790595,0.463333333333333,30,13.9,6
coldcge,Hot,H3,Male,C,coldcge_4,coldcge_H3_Male_C,H3_C,0.951451965762403,1.15480934213894,0.306666666666667,30,9.2,6
coldcge,Cold,C2,Male,A,coldcge_4,coldcge_C2_Male_A,C2_A,0.782044891929894,0.799746407608261,0.313333333333333,30,9.4,6
coldcge,Hot,H4,Female,A,coldcge_4,coldcge_H4_Female_A,H4_A,1.10319976798675,1.16412313965698,0.413333333333333,30,12.4,6
coldcge,Ancestral,A3,Male,C,coldcge_4,coldcge_A3_Male_C,A3_C,0.578416451451278,0.711203078220556,0.27,30,8.1,6
coldcge,Cold,C1,Female,B,coldcge_5,coldcge_C1_Female_B,C1_B,1.15844819666496,1.36240731358515,0.456666666666667,30,13.7,6
coldcge,Hot,H4,Male,C,coldcge_5,coldcge_H4_Male_C,H4_C,0.859460254149474,1.01906203906987,0.281481481481481,27,7.6,6
coldcge,Cold,C1,Female,C,coldcge_5,coldcge_C1_Female_C,C1_C,1.0669025956206,1.18397353143173,0.463333333333333,30,13.9,6
coldcge,Hot,H4,Male,A,coldcge_5,coldcge_H4_Male_A,H4_A,0.72445388530775,0.892338238970103,0.268965517241379,29,7.8,6
coldcge,Cold,C3,Female,C,coldcge_5,coldcge_C3_Female_C,C3_C,1.08796043714279,1.24736261474989,0.46551724137931,29,13.5,6
coldcge,Hot,H3,Female,A,coldcge_6,coldcge_H3_Female_A,H3_A,1.28576076279957,1.30709413662732,0.437931034482759,29,12.7,6
coldcge,Ancestral,A1,Male,A,coldcge_6,coldcge_A1_Male_A,A1_A,0.786381762755021,0.925895953091951,0.266666666666667,27,7.2,6
coldcge,Cold,C3,Male,B,coldcge_6,coldcge_C3_Male_B,C3_B,1.0130371559398,1.25540104099191,0.296666666666667,30,8.9,6
coldcge,Ancestral,A2,Male,C,coldcge_6,coldcge_A2_Male_C,A2_C,0.639752158954564,0.679052444300074,0.303225806451613,31,9.4,6
coldcge,Cold,C4,Female,A,coldcge_6,coldcge_C4_Female_A,C4_A,1.35533789011913,1.59261030440769,0.448275862068966,29,13,6
coldcge,Hot,H1,Male,A,coldcge_7,coldcge_H1_Male_A,H1_A,0.940430057669634,1.03206438917564,0.296551724137931,29,8.6,6
coldcge,Hot,H1,Male,B,coldcge_7,coldcge_H1_Male_B,H1_B,0.736766019529862,0.832700366253316,0.29,30,8.7,6
coldcge,Cold,C1,Female,A,coldcge_7,coldcge_C1_Female_A,C1_A,1.28683018147957,1.49781079188762,0.448275862068966,29,13,6
coldcge,Ancestral,A2,Male,B,coldcge_7,coldcge_A2_Male_B,A2_B,0.918202512313125,0.934348170963298,0.289655172413793,29,8.4,6
coldcge,Hot,H1,Female,A,coldcge_8,coldcge_H1_Female_A,H1_A,1.22788759748426,1.55186296453557,0.47,30,14.1,6
coldcge,Ancestral,A1,Female,A,coldcge_8,coldcge_A1_Female_A,A1_A,0.951314853096869,1.25268521256984,0.43448275862069,29,12.6,6
coldcge,Hot,H3,Female,B,coldcge_8,coldcge_H3_Female_B,H3_B,1.02986054114182,1.3188087079492,0.436666666666667,30,13.1,6
