contrast,cge,Sex,effect.size,SE,df,lower.CL,upper.CL
Ancestral - Cold,coldcge,Female,-1.67862429496692,0.676974095966696,15.7950834246365,-3.11525992867533,-0.241988661258509
Ancestral - Hot,coldcge,Female,0.0837131001860669,0.661492623345518,15.45991049578,-1.32258065709391,1.49000685746604
Cold - Hot,coldcge,Female,1.76233739515299,0.673583803299144,15.45991049578,0.330338512393402,3.19433627791257
Ancestral - Cold,hotcge,Female,-0.0453587924111112,0.931866371974367,12.037464697114,-2.07502056503661,1.98430298021439
Ancestral - Hot,hotcge,Female,0.11026647889933,0.930168041260467,12.4785296488541,-1.90780929583394,2.1283422536326
Cold - Hot,hotcge,Female,0.155625271310441,0.867716991204261,12.037464697114,-1.73431523890828,2.04556578152916
Ancestral - Cold,coldcge,Male,-1.71597515220206,0.670481316435919,15.6164385407611,-3.1401746044831,-0.291775699921022
Ancestral - Hot,coldcge,Male,-0.448181898646631,0.664993802891833,15.8014055424028,-1.85934711615973,0.962983318866468
Cold - Hot,coldcge,Male,1.26779325355543,0.67335286512166,15.6164385407611,-0.162505784150554,2.69809229126142
Ancestral - Cold,hotcge,Male,-0.346316810081518,0.876865023657077,12.0397572537507,-2.25614209641257,1.56350847624953
Ancestral - Hot,hotcge,Male,-0.604718856163089,0.874001950971289,12.0397572537507,-2.50830832687326,1.29887061454708
Cold - Hot,hotcge,Male,-0.258402046081571,0.892402877712178,13.4894712107921,-2.1792341583337,1.66243006617056
