"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
8.07929121838735e-05,4,4,38.7437722419929,"GO:0042628 Mating plug formation ","https://amigo.geneontology.org/amigo/term/GO:0042628"," Ebp  EbpII  EbpIII  Acp36DE"
7.62858459432575e-05,7,23,14.2740213523132,"GO:0007320 Insemination ","https://amigo.geneontology.org/amigo/term/GO:0007320"," Acp36DE  Ebp  Acp62F  EbpII  EbpIII  Est-6  Acp53Ea"
7.62858459432575e-05,7,23,14.2740213523132,"GO:0044706 Multi-multicellular organism proc. ","https://amigo.geneontology.org/amigo/term/GO:0044706"," Acp36DE  Ebp  Acp62F  EbpII  EbpIII  Est-6  Acp53Ea"
0.000351368450711267,6,18,13.6742725559975,"GO:0018991 Egg-laying behavior ","https://amigo.geneontology.org/amigo/term/GO:0018991"," BG642312  Dup99B  Mst57Da  Mst57Db  Mst57Dc  Est-6"
0.000143672402228604,7,26,12.3275638951796,"GO:0044703 Multi-organism reproductive proc. ","https://amigo.geneontology.org/amigo/term/GO:0044703"," Acp36DE  Ebp  Acp62F  EbpII  EbpIII  Est-6  Acp53Ea"
0.000169814198783928,7,28,11.7915828562587,"GO:0007620 Copulation ","https://amigo.geneontology.org/amigo/term/GO:0007620"," Acp36DE  Ebp  Acp62F  EbpII  EbpIII  Est-6  Acp53Ea"
7.62858459432575e-05,9,37,9.96268429079817,"GO:0045924 Reg. of female receptivity ","https://amigo.geneontology.org/amigo/term/GO:0045924"," Dup99B  EbpII  spin  Acp36DE  Mst57Da  Mst57Db  Mst57Dc  Acp33A  Est-6"
0.000143672402228604,9,44,8.30223690899848,"GO:0060180 Female mating behavior ","https://amigo.geneontology.org/amigo/term/GO:0060180"," Dup99B  EbpII  spin  Acp36DE  Mst57Da  Mst57Db  Mst57Dc  Acp33A  Est-6"
6.79877405070336e-08,19,154,6.45729537366548,"GO:0007617 Mating behavior ","https://amigo.geneontology.org/amigo/term/GO:0007617"," Gr39a  Sh  Acp36DE  Desat1  Acp26Ab  Dup99B  Ebp  to  Est-6  EbpII  Acp62F  spin  para  EbpIII  Mst57Da  Mst57Db  Mst57Dc  Acp33A  Acp53Ea"
6.79877405070336e-08,20,166,6.24899552290208,"GO:0019098 Reproductive behavior ","https://amigo.geneontology.org/amigo/term/GO:0019098"," Gr39a  Sh  Acp36DE  Desat1  Acp26Ab  Dup99B  Ebp  to  Est-6  EbpII  Acp62F  BG642312  spin  para  EbpIII  Mst57Da  Mst57Db  Mst57Dc  Acp33A  Acp53Ea"
0.000374015745253717,15,152,4.15111845449924,"GO:0006631 Fatty acid metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006631"," pdgy  Hacd1  Acat2  Mcad  CG9459  CG15531  CG30008  Elo68alpha  Desat1  Acbp3  whd  e  CG6432  CG7910  CG5112"
0.00296305021103231,13,144,3.81567453898415,"GO:0046394 Carboxylic acid biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0046394"," aay  regucalcin  CG1673  Hacd1  CG10621  CG9459  CG10184  CG15531  CG30008  Elo68alpha  Desat1  LKRSDH  CG6432"
0.0023553788282512,17,222,3.1818556913714,"GO:0032787 Monocarboxylic acid metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0032787"," Ald1  pdgy  Hacd1  Acat2  Mcad  CG9459  CG15531  CG30008  Elo68alpha  Desat1  Acbp3  whd  e  Pgd  CG6432  CG7910  CG5112"
